sentence1,sentence2,similarity_score
a group of teenagers are jumping in the air on the beach.,A group of young people jump up in the air while on the beach.,4.800000190734863
It's also a matter of taste.,It's definitely just a matter of preference.,5.0
Algeria Mounts Military Operation to Rescue Al Qaeda Hostages,Algeria mulls international force for hostages,2.200000047683716
The people threw the dummy over the cliff edge.,Some people are throwing a dummy off a cliff.,4.5
Mali's President Hands in Resignation,Mali's President Formally Resigns,4.599999904632568
Thistle is classified as a noxious weed in most places and must be controlled.,"I've got the same problem, where there are fields of dandelions just beyond the borders of my gardens.",1.600000023841858
Childcare costs rise by nearly 6%,"Childcare 'costing £15,000 a year'",3.0
A young girl with glasses sits and holds two American flags.,A girl in glasses is looking over two American flags near a wooded area.,2.5999999046325684
"Chinese president meets Greek PM, calling for stronger partnership",Chinese president meets Indian vice president,1.7999999523162842
"Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors' offices.","The director of the Office of Medical Access, Cindy Cripps-Prawak, left her job after the department introduced a plan to distribute marijuana through doctors' offices.",4.25
A large cruise ship in harbor with trees behind.,A cruise ship docked at a coast.,3.400000095367432
Black bird standing on concrete.,Blue bird standing on green grass.,1.0
A woman is brushing her feet.,The sun is rising behind trees.,0.0
Two women in the kitchen looking at a object.,Three men in suits sitting at a table.,0.0
A plane is taking off.,An air plane is taking off.,5.0
Suicide bomber kills 13 in Russia's south,Suicide bomber kills 16 in Russia’s Volgograd,1.7999999523162842
A white and black dog is jumping into a pool.,A woman in a black apron is standing in front of a mirror.,0.0
EU slaps sanctions on Assad family,EU sanctions Assad's wife; mortars hit Homs,3.400000095367432
A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.,4.5
Murray ends 77-year wait for British win,Murray wins Wimbledon title ends Britains 77year agony,5.0
I'd be more inclined to believe that it's some sort of ring world.,"It is not hollow, it is round just as our world.",1.7999999523162842
Glorious triple-gold night for Britain,Britain savors golden night on track,3.200000047683716
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,3.0
For the most part you can apply at any US consulate.,Generally you're supposed to apply at the US consulate at your place of residence.,3.5999999046325684
The people are leaving the airplane.,The people are entering the plane.,2.200000047683716
"capital offenses in saudi arabia include rape, murder, apostasy, armed robbery and drug trafficking.","capital offences in iran include murder, rape, armed robbery, serious drug trafficking and adultery.",3.200000047683716
Chinese tourist abducted from Malaysia,China returns 10 children abducted from Vietnam,1.399999976158142
Motorists killed after Japanese tunnel collapses,Cars trapped in tunnel collapse outside Tokyo,1.7999999523162842
Moscow's Crimea success could lead to it redrawing Ukraine's eastern border,Merkel: Russian actions could lead to a catastrophe,2.5999999046325684
China activist Chen lands in US,Chinese activist renews call to fight injustice,1.2000000476837158
A girl is playing a flute.,A band is playing on a stage.,1.2860000133514404
A man and woman are Bollywood dancing.,A man an woman are dancing in the rain.,1.6670000553131104
The murky waters of the South China Sea,Peace lies over the South China Sea,1.399999976158142
A man is riding a bike.,A man is riding on a horse.,2.0
"""But HRT should not be used to prevent heart disease or any other chronic condition.""","""The clear message is it should not be used to prevent cardiovascular disease,"" Manson said.",2.5999999046325684
A woman is slicing butter.,A woman slices tofu.,1.7999999523162842
Soccer-France to host Australia for first time in October,NRA official to face questions for first time since controversial remarks,0.0
Car bombing kills 17 in Pakistan,Suicide bomber kills 10 in Pakistan,2.5999999046325684
A red double decker bus on a city street.,A red double decker bus driving down a street.,4.800000190734863
A man is folding paper.,A woman is slicing a pepper.,0.6000000238418579
The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.,"A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.",3.400000095367432
"Syria peace plan conditions “unacceptable,” opposition says",Syria peace dashed as deadline passes,2.0
Renowned Spanish flamenco guitarist Paco De Lucia dies,Spanish flamenco guitarist Paco de Lucia dies at 66,4.599999904632568
A man in a black leather jacket is sleeping in a subway car.,A man in a black leather jacket falls asleep on public transportation.,4.599999904632568
a dog jumps into the water.,A dog is jumping into the water.,5.0
The best approach is play with your cat each night in the evening before bedtime.,A trick I did was to grab and hold my cats close if they disturbed me during the night.,2.400000095367432
A woman slices a lemon.,A man is talking into a microphone.,0.0
"North Korea Warns Foreigners in South, Advising Evacuation",North Korea warns foreigners in South to evacuate,5.0
A woman is cutting a tomato.,A woman is slicing a potato.,1.0
"Forget for a moment that you ever learned anything about so-called ""complex"" or ""imaginary"" numbers.","As others have already mentioned, numbers are of course abstractions.",1.2000000476837158
Algerian government parties dominate elections,Algerian national turnout of parliamentary vote reaches 44.38 pct,2.400000095367432
A red and blue plane flying with its landing gears down.,A WWII fighter plane with its landing gear down.,3.200000047683716
Queen visits Britain's new prince,Queen meets Britain's new baby prince,5.0
People who are good at the philosophy of mathematics are mathematicians and not philosophers.,My motivation is that I like to look at things from their roots and go up.,0.0
Asiana jet crash lands at San Francisco airport,Plane crash lands at San Francisco airport,3.5999999046325684
"Aloes, like most succulents, are very hardy and will withstand considerable neglect .",Some of the guys at my office have potted aloe plants.,1.600000023841858
AbbVie Sours on $55B Shire Deal After Tax Changes,AbbVie cools on $55bn Shire deal after US tax changes,5.0
A young girl with a pink hat on with a yellow building in the background.,A young girl in a pink dress with something in her hand.,1.7999999523162842
The Chelsea defender Marcel Desailly has been the latest to speak out.,"Marcel Desailly, the France captain and Chelsea defender, believes the latter is true.",2.25
Feel the fear... And do it anyway The book recommends to feel the fear.,13 Tips To Face Your Fear and Enjoy the Ride seems interesting.,2.200000047683716
Iran says ready for fresh round of nuclear talks,Iran's Khamenei renews support for nuclear talks,3.5999999046325684
Child holding an object that is on fire.,A child in pink holds an object that appears to be on fire.,4.0
US says ready to help blind Chinese activist,U.S. ready to help Chinese activist: official,3.400000095367432
A child is waking up.,A girl is waking up.,3.200000047683716
A gray cat laying on a brown table.,A grey cat lying on a wooden table.,4.199999809265137
Two women holding checkered flags near an orange car.,Two ladies in skimpy clothes pose next to an old fashioned car.,2.799999952316284
A man sits by a dock looking at the water.,A man jumps off a rock into the water,1.3300000429153442
Whistleblower Edward Snowden flies to Moscow,NSA whistleblower Edward Snowden leaves Hong Kong on flight to Moscow,3.5999999046325684
A group wading across a witch,A group wading across a ditch,2.799999952316284
Two little girls in pink are dancing.,Two ladies jogging on a path near the waterfront.,0.0
